"month","manatee_counts","number_surveys","surveyor_experience","temperature"
"2012-08",NA,0,0,31
"2012-09",NA,0,0,30.6
"2012-10",NA,0,0,30
"2012-11",NA,0,0,25.2
"2012-12",NA,0,0,23
"2013-01",NA,0,0,24.6
"2013-02",NA,0,0,23
"2013-03",3,1,0,20.2
"2013-04",NA,0,0,25.5
"2013-05",NA,0,0,28.2
"2013-06",74,2,0,31
"2013-07",46,1,1,31.5
"2013-08",29,1,0,31.5
"2013-09",53,1,1,30.9
"2013-10",NA,0,0,29.1
"2013-11",45,1,0,26.7
"2013-12",NA,0,0,24
"2014-01",NA,0,0,20
"2014-02",NA,0,0,22.9
"2014-03",15,1,0,23.2
"2014-04",19,1,0,27
"2014-05",30,1,1,29.5
"2014-06",39,1,1,31
"2014-07",191,3,0,32.8
"2014-08",64,1,1,32.7
"2014-09",34,1,1,31.5
"2014-10",NA,0,0,31.2
"2014-11",NA,0,0,25.6
"2014-12",NA,0,0,21.5
"2015-01",NA,0,0,22.5
"2015-02",0,1,0,18.6
"2015-03",25,1,0,25.2
"2015-04",49,1,1,30.5
"2015-05",51,1,1,30.6
"2015-06",40,1,1,33
"2015-07",65,1,1,32.9
"2015-08",30,1,1,33.8
"2015-09",55,1,1,33.4
"2015-10",NA,0,0,30.1
"2015-11",NA,0,0,28.3
"2015-12",NA,0,0,25.3
"2016-01",NA,0,0,25.8
"2016-02",NA,0,0,20.3
"2016-03",NA,0,0,26.3
"2016-04",NA,0,0,28.5
"2016-05",NA,0,0,29.3
"2016-06",66,1,1,32.1
"2016-07",52,1,1,33.6
"2016-08",58,1,1,33.5
"2016-09",77,1,1,31.8
"2016-10",NA,0,0,31.4
"2016-11",NA,0,0,24.7
"2016-12",11,1,1,23.2
"2017-01",NA,0,0,23.2
"2017-02",NA,0,0,22.9
"2017-03",NA,0,0,25.8
"2017-04",NA,0,0,26.9
"2017-05",31,1,1,30.6
"2017-06",66,1,1,32.2
"2017-07",60,1,1,33.3
"2017-08",64,1,1,34
"2017-09",67,1,1,32.1
"2017-10",NA,0,0,30.3
"2017-11",NA,0,0,24.3
"2017-12",13,1,1,23.7
"2018-01",NA,0,0,21.5
"2018-02",NA,0,0,25.7
"2018-03",NA,0,0,25.5
"2018-04",47,1,1,25.8
"2018-05",72,1,1,28.5
"2018-06",63,1,1,30.9
"2018-07",63,1,1,30.2
"2018-08",124,2,1,32.6
"2018-09",58,1,1,30.8
"2018-10",74,1,1,30
"2018-11",NA,0,0,27.5
"2018-12",NA,0,0,23.1
"2019-01",NA,0,0,20.4
"2019-02",NA,0,0,23
"2019-03",NA,0,0,23
"2019-04",NA,0,0,25.6
"2019-05",67,1,1,29.1
"2019-06",50,1,1,30.1
"2019-07",56,1,1,30.9
"2019-08",50,1,1,30.6
"2019-09",62,1,1,30.8
"2019-10",101,2,1,30.4
"2019-11",49,1,1,29.9
"2019-12",6,1,1,22.4
"2020-01",NA,0,0,23.3
"2020-02",NA,0,0,24.8
"2020-03",64,1,1,27.8
"2020-04",NA,0,0,29.1
"2020-05",53,1,1,30.3
"2020-06",69,1,1,33.6
"2020-07",74,1,1,32.6
"2020-08",74,1,1,34.3
"2020-09",54,1,1,32.8
"2020-10",69,1,1,29.9
"2020-11",40,1,1,27.7
